epoch,poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - _step,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - test poison acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - test poison acc (after fedavg)
1801,1,0.39063 ,1.17188 
1802,2,30.46875 ,34.96094 
1803,3,37.50000 ,46.87500 
1804,4,29.49219 ,58.00781 
1805,5,24.21875 ,60.54688 
1806,6,43.35938 ,49.02344 
1807,7,54.49219 ,60.54688 
1808,8,64.06250 ,66.21094 
1809,9,60.35156 ,67.18750 
1810,10,37.69531 ,61.71875 
1811,11,60.54688 ,77.53906 
1812,12,39.84375 ,78.71094 
1813,13,53.90625 ,80.85938 
1814,14,72.26563 ,85.15625 
1815,15,64.84375 ,85.35156 
1816,16,65.03906 ,83.98438 
1817,17,63.28125 ,82.42188 
1818,18,48.82813 ,82.03125 
1819,19,72.85156 ,83.20313 
1820,20,59.57031 ,85.74219 
1821,21,63.67188 ,86.13281 
1822,22,76.75781 ,83.00781 
1823,23,61.32813 ,84.57031 
1824,24,84.17969 ,87.30469 
1825,25,85.74219 ,87.10938 
1826,26,76.75781 ,88.28125 
1827,27,83.78906 ,87.50000 
1828,28,69.53125 ,86.52344 
1829,29,71.87500 ,93.16406 
1830,30,71.67969 ,94.33594 
1831,31,76.36719 ,91.79688 
1832,32,76.36719 ,90.42969 
1833,33,79.10156 ,90.42969 
1834,34,77.53906 ,92.77344 
1835,35,78.32031 ,87.69531 
1836,36,66.99219 ,92.18750 
1837,37,70.11719 ,93.35938 
1838,38,74.02344 ,94.72656 
1839,39,63.86719 ,90.03906 
1840,40,69.72656 ,92.18750 
1841,41,75.39063 ,93.16406 
1842,42,64.64844 ,91.01563 
1843,43,79.68750 ,87.30469 
1844,44,73.04688 ,91.01563 
1845,45,89.06250 ,90.03906 
1846,46,77.73438 ,91.99219 
1847,47,83.39844 ,93.16406 
1848,48,57.22656 ,91.21094 
1849,49,76.95313 ,87.89063 
1850,50,64.84375 ,89.45313 
1851,51,75.97656 ,90.62500 
1852,52,72.07031 ,95.11719 
1853,53,79.10156 ,95.31250 
1854,54,75.78125 ,95.89844 
1855,55,84.76563 ,95.70313 
1856,56,78.32031 ,92.96875 
1857,57,82.81250 ,96.67969 
1858,58,78.51563 ,94.33594 
1859,59,82.03125 ,96.28906 
1860,60,66.01563 ,93.55469 
1861,61,75.19531 ,96.28906 
1862,62,70.89844 ,95.31250 
1863,63,83.98438 ,95.31250 
1864,64,82.81250 ,92.18750 
1865,65,83.20313 ,93.16406 
1866,66,86.52344 ,94.72656 
1867,67,78.12500 ,94.14063 
1868,68,87.10938 ,93.75000 
1869,69,51.75781 ,95.50781 
1870,70,71.28906 ,96.67969 
1871,71,72.65625 ,93.16406 
1872,72,86.71875 ,95.11719 
1873,73,87.30469 ,95.31250 
1874,74,82.61719 ,94.14063 
1875,75,85.93750 ,93.94531 
1876,76,84.17969 ,93.94531 
1877,77,80.07813 ,93.16406 
1878,78,82.81250 ,93.35938 
1879,79,78.32031 ,84.37500 
1880,80,86.13281 ,94.72656 
1881,81,84.57031 ,90.82031 
1882,82,82.03125 ,95.31250 
1883,83,81.64063 ,92.57813 
1884,84,84.37500 ,91.21094 
1885,85,78.90625 ,95.50781 
1886,86,87.69531 ,95.89844 
1887,87,79.68750 ,93.55469 
1888,88,84.96094 ,99.21875 
1889,89,83.20313 ,99.02344 
1890,90,85.35156 ,98.43750 
1891,91,83.20313 ,97.65625 
1892,92,81.64063 ,95.89844 
1893,93,84.17969 ,97.07031 
1894,94,83.59375 ,94.92188 
1895,95,59.37500 ,97.26563 
1896,96,83.39844 ,96.09375 
1897,97,83.98438 ,94.33594 
1898,98,87.89063 ,97.26563 
1899,99,89.64844 ,97.65625 
1900,100,84.57031 ,97.65625 
1901,101,87.69531 ,98.24219 
1902,102,89.64844 ,97.65625 
1903,103,84.37500 ,97.85156 
1904,104,75.00000 ,96.67969 
1905,105,85.35156 ,92.38281 
1906,106,85.93750 ,93.94531 
1907,107,82.81250 ,95.50781 
1908,108,88.67188 ,96.28906 
1909,109,83.39844 ,93.35938 
1910,110,83.78906 ,98.43750 
1911,111,90.82031 ,98.24219 
1912,112,88.28125 ,90.42969 
1913,113,88.67188 ,91.01563 
1914,114,82.81250 ,95.89844 
1915,115,89.25781 ,93.35938 
1916,116,84.37500 ,98.82813 
1917,117,84.17969 ,97.26563 
1918,118,87.89063 ,97.65625 
1919,119,87.89063 ,98.82813 
1920,120,87.30469 ,98.63281 
1921,121,86.13281 ,96.28906 
